style_number,metal,gold_weight_grams,diamond_carat,diamond_quality,diamond_cost_per_carat,color_stone_type,color_stone_carat,color_stone_cost_per_carat,labor_cost,setting_cost,markup_percent,item_note
B401400-14WVS,14W,4.8,1.2,VS,475,,0,0,95,40,220,Natural diamond band in 14K gold
LB401400-14WVS,14W,4.8,1.2,VS,155,,0,0,95,40,190,Lab grown diamond version should be cheaper
B501200-18YRA,18Y,5.6,0.75,SI,390,Ruby,1.1,120,110,55,210,Ruby and diamond alternate band
B601800-14REM,14R,4.2,0.5,SI,375,Emerald,0.95,140,105,50,210,Half emerald half diamond ring
B801300-PTVS,PT,7.4,2,VS,520,,0,0,150,85,240,Platinum diamond eternity band
B901500-14YS,14Y,3.9,0,,0,Sapphire,1.35,95,90,35,200,Sapphire colorstone-only band
LB301900-14RVS1,14R,4.6,1.5,VS1,175,,0,0,100,45,190,Lab grown rose gold ring
B332200-14YSI,14Y,3.2,0.6,SI,360,,0,0,85,30,220,Natural diamond necklace
LB445500-PTVVS2,PT,9.1,3.25,VVS2,220,,0,0,175,120,210,Lab grown platinum bracelet
B778800-18REM,18R,5.1,0.65,SI,385,Emerald,0.75,150,115,55,210,Emerald alternate diamond ring
